text,label
"Can you create a portfolio with AAPL, TSLA, and AMZN?",0
I need advice on investing in the stock market.,0
"Optimize my current portfolio with AAPL, GOOGL, and MSFT.",1
What's the latest news on cryptocurrency?,0
Could you add more tech stocks to my existing portfolio?,0
What are the tax implications of selling stocks?,0
"Review and optimize my portfolio containing NFLX, DIS, and SPY.",1
Can you explain what an ETF is?,0
Rebalance my investments with a focus on sustainable energy stocks.,0
What are the risks of investing in small-cap stocks?,0
"I need a portfolio including FB, BABA, and JNJ.",0
How does the Federal Reserve impact the stock market?,0
Can you adjust my portfolio to include more dividend-paying stocks?,0
What's the difference between mutual funds and index funds?,0
Please create a balanced portfolio with both stocks and bonds.,0
How can I protect my investments during a market downturn?,0
Optimize my portfolio to include emerging market stocks.,1
What is the significance of the P/E ratio in stock analysis?,0
Add healthcare sector stocks to my portfolio.,0
What are the benefits of a diversified investment strategy?,0
"Create a growth-focused portfolio with TSLA, NVDA, and AMD.",0
Can you provide an overview of the current economic conditions?,0
Rebalance my portfolio to minimize risk.,0
What is the impact of interest rates on bond prices?,0
Add some REITs to my investment portfolio.,0
How do I start investing in the stock market?,0
Can you create a dividend income portfolio?,0
What are the best practices for retirement savings?,0
Optimize my portfolio with a mix of tech and utility stocks.,1
What are the advantages of passive investing?,0
Create a portfolio that focuses on blue-chip stocks.,0
How do stock buybacks affect share prices?,0
Rebalance my portfolio to include international stocks.,0
What is the role of a financial advisor?,0
Add renewable energy stocks to my investment strategy.,0
How do capital gains taxes work?,0
Optimize my portfolio for long-term growth.,1
What are some strategies for risk management in investing?,0
Create a portfolio with both high-risk and low-risk stocks.,0
What is the impact of inflation on investments?,0
Rebalance my investments to increase exposure to tech stocks.,0
What is dollar-cost averaging?,0
Can you create a diversified portfolio with stocks and ETFs?,0
How does market volatility affect my investments?,0
Add some blue-chip stocks to my existing portfolio.,0
What is the difference between growth and value investing?,0
Optimize my portfolio to include more stable stocks.,1
How do I evaluate a company's financial health?,0
Create a portfolio focusing on high-growth sectors.,0
